  step    steps_total    steps_local    running_reward    loss
   648         301642            600            -106.4  1.60925
   649         302242            600             186.8  1.70832
   650         302842            600             232.2  1.87537
   651         302952            110            -433.1  1.80583
   652         303552            600             282.1  1.81912
   653         304152            600             260.3  1.53074
   654         304752            600             344.7  1.50202
   655         305352            600              50.0  1.55413
   656         305952            600             130.8  1.60699
   657         306552            600             540.1  1.95881
   658         307152            600             318.7  1.60799
   659         307752            600             218.0  1.74324
   660         308352            600             132.8  1.58611
   661         308952            600              95.7  1.76774
   662         309552            600             248.9  1.55217
   663         310152            600             737.8  1.61440
   664         310406            254            -320.7  1.50339
   665         311006            600             772.2  1.62334
   666         311606            600             522.9  1.41558
   667         312206            600             238.8  1.56889
   668         312806            600             177.3  1.53052
   669         313406            600             201.1  1.62336
   670         314006            600              97.0  1.46066
   671         314606            600             290.4  1.72784
   672         315206            600             153.1  1.75544
   673         315806            600             342.8  1.66932
   674         316406            600             154.5  1.67500
   675         317006            600              72.0  1.52090
   676         317606            600            -269.7  1.56586
   677         318206            600             878.9  1.65228
   678         318806            600               6.7  1.62121
   679         319406            600             -92.4  1.42959
   680         320006            600             452.4  1.76064
   681         320606            600             691.0  1.43101
   682         321206            600             250.0  1.86553
   683         321806            600             222.4  1.84431
   684         322406            600             575.7  1.41527
   685         323006            600             599.6  1.34015
   686         323606            600             747.9  1.58742
   687         324206            600            1003.0  1.59390
   688         324806            600            -109.0  1.54483
   689         325406            600             371.0  1.68214
   690         326006            600             974.3  1.88014
   691         326606            600             546.3  1.61860
   692         326777            171            -282.0  1.40061
   693         327377            600             422.2  1.68045
   694         327977            600             256.3  1.63122
   695         328577            600             651.3  1.48241
   696         329177            600            -218.8  1.66457
   697         329777            600             519.8  1.60621
   698         330377            600             591.6  1.50308
   699         330977            600             296.6  1.57698
   700         331577            600             429.0  1.58434
   701         332177            600             406.8  1.56571
   702         332777            600             759.8  1.77445
   703         333377            600             300.2  1.35655
   704         333977            600             -59.5  1.85268
   705         334577            600             162.9  1.50999
   706         335177            600             -51.3  1.51909
   707         335777            600              22.9  1.48279
   708         336377            600             -86.4  1.47043
   709         336977            600             564.1  1.65456
   710         337577            600             311.8  1.57231
   711         338177            600              42.1  1.48088
   712         338777            600             397.8  1.37895
   713         339377            600             285.9  1.75845
   714         339977            600             350.9  1.68255
   715         340577            600             330.0  1.63036
   716         341177            600             736.5  1.43939
   717         341777            600             344.9  1.43584
   718         342377            600             673.5  1.61421
   719         342977            600            -138.8  1.29949
   720         343577            600             648.6  1.43858
   721         344177            600             592.1  1.48134
